matchId,summonerName,riotIdGameName,riotIdTagline,teamId,champion,win,kills,deaths,assists,gold,damage_total,damage_magic,damage_physical,damage_true,item0,item1,item2,item3,item4,item5,item6,spell1Id,spell2Id,team_champs,enemy_champs
KR_7777147221,지면 리폿때림#KR5,지면 리폿때림,KR5,100,Viego,False,8,9,10,11377,16955,2858,13544,552,6610,3153,3111,2021,1028,1037,2052,32,4,"['Viego', 'Malphite', 'Gnar', 'Ambessa', 'Vex']","['Ashe', 'Lulu', 'Zed', 'Katarina', 'TahmKench']"
KR_7777147221,나의아기고양이준민#jaem,나의아기고양이준민,jaem,100,Malphite,False,5,9,12,10267,16297,12876,1842,1578,3108,1052,0,4646,3118,4645,2052,32,4,"['Viego', 'Malphite', 'Gnar', 'Ambessa', 'Vex']","['Ashe', 'Lulu', 'Zed', 'Katarina', 'TahmKench']"
KR_7777147221,게임하는데 말을 왜 거는 거야#말좀걸지마,게임하는데 말을 왜 거는 거야,말좀걸지마,100,Gnar,False,3,10,13,10030,18893,2412,16006,475,3084,3111,3078,3076,1029,0,2052,32,4,"['Viego', 'Malphite', 'Gnar', 'Ambessa', 'Vex']","['Ashe', 'Lulu', 'Zed', 'Katarina', 'TahmKench']"
KR_7777147221,나나나나나나너너무서운해#PraY,나나나나나나너너무서운해,PraY,100,Ambessa,False,4,12,16,11268,15785,0,14040,1744,3161,4003,6692,6695,0,0,2052,32,4,"['Viego', 'Malphite', 'Gnar', 'Ambessa', 'Vex']","['Ashe', 'Lulu', 'Zed', 'Katarina', 'TahmKench']"
KR_7777147221,itemjinseyeon#jisen,itemjinseyeon,jisen,100,Vex,False,7,7,13,11199,16708,15125,1067,515,6655,4645,3020,3916,3145,3113,2052,4,32,"['Viego', 'Malphite', 'Gnar', 'Ambessa', 'Vex']","['Ashe', 'Lulu', 'Zed', 'Katarina', 'TahmKench']"
KR_7777147221,동구는공주야#KR1,동구는공주야,KR1,200,Ashe,True,11,7,21,12181,21295,1712,19583,0,6672,3085,3006,3153,0,0,2052,1,4,"['Ashe', 'Lulu', 'Zed', 'Katarina', 'TahmKench']","['Viego', 'Malphite', 'Gnar', 'Ambessa', 'Vex']"
KR_7777147221,뽀 솔#1111,뽀 솔,1111,200,Lulu,True,4,3,36,10868,7289,6286,1003,0,3190,6617,3504,3158,3916,0,2052,3,4,"['Ashe', 'Lulu', 'Zed', 'Katarina', 'TahmKench']","['Viego', 'Malphite', 'Gnar', 'Ambessa', 'Vex']"
KR_7777147221,총 균#KR1,총 균,KR1,200,Zed,True,17,4,23,13227,39856,1358,37349,1148,126697,3158,6696,6692,0,0,2052,32,4,"['Ashe', 'Lulu', 'Zed', 'Katarina', 'TahmKench']","['Viego', 'Malphite', 'Gnar', 'Ambessa', 'Vex']"
KR_7777147221,AD its Mine#KR1,AD its Mine,KR1,200,Katarina,True,9,10,20,11407,27414,24802,347,2264,4646,3020,4645,3089,0,0,2052,32,4,"['Ashe', 'Lulu', 'Zed', 'Katarina', 'TahmKench']","['Viego', 'Malphite', 'Gnar', 'Ambessa', 'Vex']"
KR_7777147221,sngh#KR1,sngh,KR1,200,TahmKench,True,6,3,29,11352,21715,16687,4347,680,3084,3070,3111,2502,1011,1006,2052,32,4,"['Ashe', 'Lulu', 'Zed', 'Katarina', 'TahmKench']","['Viego', 'Malphite', 'Gnar', 'Ambessa', 'Vex']"
KR_7775267167,짜냐옹#3NSHU,짜냐옹,3NSHU,100,Diana,False,17,13,23,15646,43806,38646,1949,3210,3020,3152,3157,4645,4646,1058,2052,32,4,"['Diana', 'FiddleSticks', 'Caitlyn', 'Anivia', 'MissFortune']","['Bard', 'KSante', 'Brand', 'Corki', 'Kayn']"
KR_7775267167,근거리 미#8463,근거리 미,8463,100,FiddleSticks,False,7,18,30,12715,29968,29188,0,780,3118,4645,3089,3135,0,0,3330,6,4,"['Diana', 'FiddleSticks', 'Caitlyn', 'Anivia', 'MissFortune']","['Bard', 'KSante', 'Brand', 'Corki', 'Kayn']"
KR_7775267167,동구는공주야#KR1,동구는공주야,KR1,100,Caitlyn,False,10,12,28,14578,29934,1156,28700,77,3032,3006,3031,3094,3036,1036,2052,1,4,"['Diana', 'FiddleSticks', 'Caitlyn', 'Anivia', 'MissFortune']","['Bard', 'KSante', 'Brand', 'Corki', 'Kayn']"
KR_7775267167,뽀 솔#1111,뽀 솔,1111,100,Anivia,False,8,7,21,13168,17545,14715,912,1917,3118,3040,6653,3020,1011,3916,2052,3,4,"['Diana', 'FiddleSticks', 'Caitlyn', 'Anivia', 'MissFortune']","['Bard', 'KSante', 'Brand', 'Corki', 'Kayn']"
KR_7775267167,우힝팬더#KR1,우힝팬더,KR1,100,MissFortune,False,15,6,24,14641,32895,1744,29065,2085,6609,1038,3006,6694,6696,6676,2052,4,1,"['Diana', 'FiddleSticks', 'Caitlyn', 'Anivia', 'MissFortune']","['Bard', 'KSante', 'Brand', 'Corki', 'Kayn']"
