champion,games,wins,avg_kills,avg_deaths,avg_assists,avg_gold,avg_damage,winrate
Taric,1,1,3.0,8.0,21.0,12388.0,6039.0,100.0
Warwick,4,4,10.5,13.5,17.25,14030.25,29182.25,100.0
Skarner,5,5,11.6,8.6,34.0,13927.2,34832.4,100.0
Vi,10,9,9.8,12.4,19.2,12660.9,26536.9,90.0
Zeri,10,9,14.0,9.4,20.0,15359.4,36781.5,90.0
Leona,6,5,2.3333333333333335,12.5,36.166666666666664,12468.0,20671.166666666668,83.33
Trundle,12,10,7.333333333333333,8.916666666666666,29.833333333333332,12685.5,22259.416666666668,83.33
Galio,15,12,4.6,8.533333333333333,28.333333333333332,11273.266666666666,18239.0,80.0
Rell,8,6,7.0,8.375,26.25,10689.25,16526.375,75.0
Belveth,4,3,11.0,10.5,18.0,13017.25,23056.25,75.0
Talon,8,6,14.25,12.0,20.25,14295.875,38954.375,75.0
MonkeyKing,11,8,10.0,10.090909090909092,23.636363636363637,13101.90909090909,27050.81818181818,72.73
Milio,14,10,2.357142857142857,5.785714285714286,37.357142857142854,11839.07142857143,11619.142857142857,71.43
MasterYi,7,5,10.571428571428571,12.285714285714286,17.428571428571427,12298.857142857143,25101.285714285714,71.43
Sona,7,5,4.428571428571429,8.142857142857142,42.857142857142854,12085.142857142857,16786.571428571428,71.43
Karthus,17,12,14.117647058823529,17.41176470588235,34.1764705882353,15780.117647058823,50997.294117647056,70.59
Sion,10,7,9.3,13.2,26.7,13176.2,30943.4,70.0
Tryndamere,13,9,11.0,11.23076923076923,20.76923076923077,14076.615384615385,25684.0,69.23
Mel,29,20,13.655172413793103,8.793103448275861,23.517241379310345,14310.896551724138,31002.44827586207,68.97
Vladimir,16,11,11.0625,9.625,23.125,14046.9375,33012.0625,68.75
KogMaw,15,10,13.466666666666667,10.6,28.4,15747.0,42109.8,66.67
Nidalee,36,24,12.11111111111111,7.305555555555555,27.11111111111111,14054.777777777777,35034.22222222222,66.67
