matchId,blue_first_death_min,red_first_death_min
KR_7777147221,2.34,2.68
KR_7775267167,1.02,1.18
KR_7750298473,2.28,
KR_7772050971,1.39,1.85
KR_7740309635,1.65,1.73
KR_7733035584,0.49,1.43
KR_7731612124,1.55,0.54
KR_7769845102,,1.13
KR_7773445355,1.43,1.37
KR_7766459476,1.33,1.68
KR_7628766865,1.57,1.14
KR_7767133480,1.4,1.81
KR_7644770469,1.24,1.55
KR_7765836595,1.91,1.01
KR_7777234707,0.86,0.88
KR_7729603340,1.64,1.88
KR_7769100970,1.71,1.81
KR_7749217671,1.98,1.97
KR_7753245172,4.29,4.89
KR_7733010286,1.4,1.41
KR_7769162602,0.9,0.86
KR_7706393682,1.0,0.61
KR_7777272675,1.15,1.13
KR_7753104042,0.79,1.08
KR_7770559951,2.78,2.67
KR_7773524549,2.14,2.13
KR_7779732848,0.79,0.79
KR_7776725176,0.66,0.63
KR_7768925921,1.05,1.63
KR_7773398771,1.38,2.44
KR_7777092443,2.74,2.82
KR_7628800435,1.24,1.65
KR_7777859300,0.98,1.41
KR_7742322250,1.21,1.23
KR_7644332533,0.53,0.5
KR_7772014120,0.89,1.08
KR_7779604954,2.21,0.7
KR_7750305443,0.72,0.85
KR_7625549675,3.06,3.23
KR_7771395586,1.95,0.47
KR_7740283492,1.17,1.94
KR_7769847337,0.88,0.85
KR_7633084629,0.82,0.8
KR_7773618030,1.78,1.06
KR_7778095911,3.66,0.82
KR_7673853453,0.83,1.42
KR_7628845700,1.35,1.05
KR_7751252538,4.74,4.13
KR_7777046526,1.67,1.19
KR_7769819084,1.01,1.14
KR_7767534094,0.65,0.68
KR_7751499662,1.48,0.84
KR_7775329871,0.96,2.49
KR_7773261960,2.88,2.91
KR_7765771165,1.34,1.7
KR_7737941457,0.82,0.86
KR_7769890564,1.14,1.1
KR_7753060439,1.01,1.0
KR_7778592363,2.43,2.13
KR_7724030521,1.66,1.1
KR_7747299571,1.33,1.36
KR_7765807736,0.58,0.72
KR_7767655828,1.32,1.83
KR_7767038022,2.11,0.53
KR_7768959668,1.33,0.88
KR_7724131072,1.69,3.45
KR_7741094485,0.79,1.03
KR_7778058383,4.47,1.98
KR_7753130953,1.08,1.42
KR_7771303007,1.16,1.21
KR_7778247143,1.39,1.38
KR_7766018391,0.71,1.51
KR_7625506739,1.66,2.55
KR_7712890614,0.74,0.49
KR_7749312247,0.88,0.81
KR_7638245574,0.66,1.63
