matchId,blue_first_tower_min,red_first_tower_min
KR_7777147221,12.77,8.88
KR_7775267167,8.09,13.32
KR_7750298473,,
KR_7772050971,11.72,
KR_7740309635,7.47,6.84
KR_7733035584,17.02,11.12
KR_7731612124,8.77,14.52
KR_7769845102,3.35,
KR_7773445355,7.52,
KR_7766459476,11.73,17.08
KR_7628766865,8.89,8.03
KR_7767133480,20.79,7.28
KR_7644770469,14.75,18.28
KR_7765836595,17.8,6.06
KR_7777234707,12.58,10.38
KR_7729603340,13.51,10.46
KR_7769100970,10.02,10.82
KR_7749217671,11.67,12.73
KR_7753245172,15.65,6.8
KR_7733010286,5.43,10.02
KR_7769162602,7.96,7.29
KR_7706393682,7.94,9.29
KR_7777272675,10.55,11.35
KR_7753104042,7.08,13.49
KR_7770559951,15.2,10.19
KR_7773524549,22.87,13.32
KR_7779732848,9.81,9.23
KR_7776725176,6.64,
KR_7768925921,,7.6
KR_7773398771,8.91,9.31
KR_7777092443,16.29,15.08
KR_7628800435,12.89,8.35
KR_7777859300,12.95,12.1
KR_7742322250,7.52,13.85
KR_7644332533,7.99,
KR_7772014120,9.76,14.73
KR_7779604954,8.95,9.26
KR_7750305443,,8.42
KR_7625549675,13.23,10.49
KR_7771395586,7.89,14.59
KR_7740283492,12.97,12.42
KR_7769847337,,7.28
KR_7633084629,11.65,7.93
KR_7773618030,7.22,
KR_7778095911,,7.54
KR_7673853453,5.62,6.42
KR_7628845700,5.61,9.91
KR_7751252538,12.81,11.78
KR_7777046526,15.11,11.75
KR_7769819084,12.02,3.85
KR_7767534094,,7.86
KR_7751499662,11.81,11.28
KR_7775329871,12.07,17.01
KR_7773261960,13.05,
KR_7765771165,10.18,7.83
KR_7737941457,5.07,8.11
KR_7769890564,12.09,8.33
KR_7753060439,7.61,4.02
KR_7778592363,10.67,7.26
KR_7724030521,13.04,11.94
KR_7747299571,11.35,9.37
KR_7765807736,13.14,9.98
KR_7767655828,,8.33
KR_7767038022,8.11,14.33
KR_7768959668,8.39,12.47
KR_7724131072,11.66,
KR_7741094485,10.19,13.85
KR_7778058383,10.9,13.45
KR_7753130953,9.11,11.24
KR_7771303007,4.98,
KR_7778247143,,
KR_7766018391,,6.63
KR_7625506739,10.89,7.46
KR_7712890614,8.47,16.63
KR_7749312247,11.15,13.82
KR_7638245574,,7.55
KR_7753211179,12.37,7.98
KR_7745664291,4.66,11.8
KR_7733021147,7.26,
KR_7745957571,3.93,
KR_7725526528,8.38,
KR_7769913778,10.77,12.09
KR_7767237993,8.39,8.97
KR_7744142992,,9.61
KR_7747516161,7.15,9.59
KR_7731674228,8.45,12.37
KR_7745918974,9.99,7.11
KR_7747489718,,
KR_7777176005,8.0,
KR_7741901596,6.5,12.6
KR_7778374213,8.29,7.62
KR_7766495955,6.33,
KR_7747353557,8.38,7.74
KR_7625476853,6.31,
KR_7724263762,19.64,13.11
KR_7742130759,6.32,7.29
KR_7644319355,11.83,6.65
KR_7763437857,9.04,9.65
KR_7740309059,10.34,7.59
KR_7628742326,8.95,
KR_7734353450,9.37,7.6
KR_7724173013,10.13,8.53
KR_7737984311,,10.42
KR_7772117194,7.23,
KR_7779006266,11.0,10.43
KR_7740328131,8.13,5.44
KR_7776815095,12.47,11.29
KR_7767613838,13.31,
