matchId,game_end_min
KR_7777147221,16.99
KR_7775267167,21.01
KR_7750298473,2.36
KR_7772050971,15.95
KR_7740309635,19.02
KR_7733035584,24.98
KR_7731612124,18.01
KR_7769845102,3.72
KR_7773445355,18.8
KR_7766459476,22.24
KR_7628766865,15.3
KR_7767133480,25.45
KR_7644770469,20.56
KR_7765836595,25.4
KR_7777234707,21.9
KR_7729603340,18.64
KR_7769100970,21.04
KR_7749217671,25.55
KR_7753245172,23.6
KR_7733010286,21.27
KR_7769162602,16.2
KR_7706393682,16.75
KR_7777272675,34.61
KR_7753104042,16.41
KR_7770559951,18.04
KR_7773524549,23.85
KR_7779732848,17.52
KR_7776725176,16.6
KR_7768925921,12.16
KR_7773398771,20.32
KR_7777092443,29.11
KR_7628800435,26.04
KR_7777859300,26.45
KR_7742322250,17.25
KR_7644332533,19.15
KR_7772014120,19.65
KR_7779604954,17.19
KR_7750305443,13.64
KR_7625549675,17.41
KR_7771395586,19.56
KR_7740283492,22.0
KR_7769847337,13.47
KR_7633084629,24.13
KR_7773618030,8.7
KR_7778095911,11.48
KR_7673853453,20.33
KR_7628845700,19.03
KR_7751252538,23.07
KR_7777046526,23.16
KR_7769819084,17.31
KR_7767534094,8.51
KR_7751499662,17.9
KR_7775329871,25.32
KR_7773261960,13.78
KR_7765771165,18.23
KR_7737941457,15.46
KR_7769890564,17.45
KR_7753060439,17.14
KR_7778592363,18.35
KR_7724030521,26.03
KR_7747299571,19.65
KR_7765807736,27.52
KR_7767655828,9.62
KR_7767038022,26.9
KR_7768959668,15.76
KR_7724131072,19.94
KR_7741094485,19.1
KR_7778058383,20.34
KR_7753130953,16.01
KR_7771303007,12.54
KR_7778247143,8.27
KR_7766018391,9.2
KR_7625506739,24.27
KR_7712890614,19.01
KR_7749312247,18.9
KR_7638245574,10.34
KR_7753211179,16.75
KR_7745664291,22.88
KR_7733021147,12.77
KR_7745957571,12.39
KR_7725526528,16.28
KR_7769913778,20.0
KR_7767237993,14.5
KR_7744142992,14.51
KR_7747516161,20.66
KR_7731674228,17.15
KR_7745918974,19.51
KR_7747489718,8.76
KR_7777176005,17.26
KR_7741901596,17.43
KR_7778374213,18.12
KR_7766495955,12.44
KR_7747353557,21.54
KR_7625476853,13.13
KR_7724263762,23.52
KR_7742130759,14.14
KR_7644319355,16.14
KR_7763437857,13.47
KR_7740309059,17.11
KR_7628742326,15.98
KR_7734353450,19.71
KR_7724173013,19.12
KR_7737984311,14.75
KR_7772117194,17.45
KR_7779006266,22.74
KR_7740328131,23.56
KR_7776815095,22.86
KR_7767613838,18.71
KR_7779582606,20.13
KR_7733032237,11.43
KR_7771419853,13.49
KR_7773355188,19.33
KR_7771322031,11.33
KR_7763476756,11.98
KR_7778456921,16.79
KR_7743856494,19.75
KR_7776929477,18.62
KR_7778200933,19.3
KR_7779584169,22.06
KR_7765671468,30.03
KR_7775379417,22.44
KR_7770526168,16.61
KR_7773485740,19.54
KR_7720205504,17.09
KR_7745717633,24.23
KR_7778420181,18.72
KR_7731642501,18.14
KR_7734408185,22.67
KR_7740200626,18.91
KR_7745948652,1.77
KR_7771373243,18.43
KR_7769195485,18.56
KR_7753237232,26.77
KR_7771853421,8.45
KR_7740177282,14.98
KR_7778905072,9.1
KR_7779767149,15.72
KR_7740351256,19.51
KR_7734431106,14.06
KR_7706403984,16.94
KR_7778609686,12.58
KR_7779267305,15.4
KR_7741932244,21.62
KR_7765887840,11.6
KR_7644736056,25.85
KR_7673878067,19.98
KR_7772087561,24.89
KR_7765995521,19.54
KR_7769127262,16.55
KR_7756685700,24.36
KR_7743812609,16.01
KR_7712804771,16.63
KR_7775188221,12.64
KR_7769785858,21.37
KR_7775355294,24.37
KR_7769190940,21.39
KR_7778008044,25.26
KR_7747249818,17.17
KR_7778568524,16.06
KR_7777808797,21.63
KR_7775189447,20.15
KR_7749339077,27.27
KR_7775406800,11.99
KR_7773561882,15.83
KR_7778830918,21.71
KR_7766921195,29.56
KR_7773495018,15.22
KR_7769966031,16.59
KR_7742171605,14.09
KR_7730463897,20.49
KR_7644896899,16.18
KR_7758506640,10.8
KR_7740247492,13.22
KR_7724198737,24.67
KR_7767191737,18.71
KR_7768873564,22.31
KR_7778285953,16.9
KR_7744024606,21.38
KR_7771334647,24.4
KR_7628709057,23.04
KR_7769224935,20.73
KR_7721768330,16.01
KR_7771881016,23.76
KR_7747670259,14.74
KR_7769006027,21.01
KR_7775013605,27.61
KR_7775434141,20.3
KR_7740239105,19.91
KR_7763516348,25.65
KR_7777934317,14.72
KR_7775316139,27.92
KR_7763309595,19.01
KR_7721934597,9.19
KR_7765911364,25.82
KR_7739679667,18.71
KR_7644820996,20.88
KR_7726160558,15.48
KR_7775148729,16.67
KR_7644799833,13.79
KR_7721884510,15.37
KR_7771932753,17.09
KR_7777022302,9.53
KR_7767091493,19.13
KR_7765988061,13.5
KR_7733025428,16.95
KR_7726097849,19.29
KR_7767306549,21.64
KR_7773144027,17.44
KR_7778873869,13.45
KR_7747623857,27.02
KR_7776768243,16.15
KR_7765984263,23.18
KR_7749284831,13.59
KR_7777200302,23.39
KR_7628166164,21.83
KR_7766530502,26.88
KR_7724081460,23.84
KR_7778124710,21.19
KR_7778947330,21.41
KR_7747694021,25.12
KR_7775109230,17.69
KR_7763581842,17.4
KR_7756584694,14.86
KR_7769056946,14.11
KR_7766977697,27.03
KR_7721803409,17.59
KR_7740200766,15.05
KR_7758478874,14.49
KR_7775399306,18.72
KR_7769156234,21.73
KR_7751475746,16.07
KR_7779274502,20.98
KR_7724237475,22.47
KR_7742345858,26.56
KR_7776875054,23.09
KR_7779608915,24.03
KR_7775231130,21.1
KR_7776977190,21.36
KR_7740236069,17.02
KR_7734384136,19.88
KR_7773440903,20.68
KR_7753165704,22.98
KR_7773179421,17.19
KR_7742415871,20.62
KR_7772067605,21.41
KR_7756740777,20.16
KR_7777224462,11.42
KR_7773060135,20.17
KR_7778740365,22.16
KR_7706429977,15.26
KR_7778328631,19.23
KR_7753275282,21.96
KR_7773302770,20.08
KR_7778505222,26.54
KR_7743783325,8.2
KR_7769948037,11.6
KR_7774967593,16.05
KR_7644858733,24.49
KR_7767559152,21.47
KR_7740286284,15.6
KR_7777262002,21.19
KR_7763383926,19.91
KR_7740152052,12.42
KR_7765943744,30.67
KR_7740268308,11.01
KR_7756538668,16.94
KR_7767040149,23.72
KR_7778166748,18.63
KR_7739025569,24.76
KR_7777970180,16.98
KR_7625441793,19.59
KR_7628202278,25.11
KR_7776683624,12.38
KR_7644345703,16.12
KR_7767366341,20.26
KR_7743731507,16.0
KR_7778923210,15.74
KR_7683483039,21.1
KR_7743976781,19.31
KR_7770170588,17.8
KR_7778798017,17.81
KR_7769861873,19.24
KR_7755276121,26.76
KR_7741999399,20.54
KR_7712845468,23.72
KR_7765862550,15.76
KR_7775300382,9.82
KR_7721908875,15.62
KR_7779559280,18.56
KR_7773094622,23.24
KR_7734325185,20.37
KR_7742387726,19.66
KR_7773218269,23.02
KR_7706424300,15.38
KR_7766591145,17.16
KR_7769767030,18.3
KR_7775415978,19.32
KR_7740216370,18.97
KR_7726192073,18.72
KR_7741863119,23.54
