matchId,time_sec,minute,blue_gold,red_gold,diff
KR_7777147221,0.0,0.0,7000,7000,0
KR_7777147221,60.013,1.0,7015,7015,0
KR_7777147221,120.028,2.0,9243,9419,-176
KR_7777147221,180.112,3.0,12024,12393,-369
KR_7777147221,240.133,4.0,16775,15826,949
KR_7777147221,300.149,5.0,19533,19747,-214
KR_7777147221,360.168,6.0,22745,23817,-1072
KR_7777147221,420.183,7.0,25022,26194,-1172
KR_7777147221,480.202,8.0,27857,29255,-1398
KR_7777147221,540.208,9.0,30462,33511,-3049
KR_7777147221,600.232,10.0,33696,36557,-2861
KR_7777147221,660.258,11.0,36260,39803,-3543
KR_7777147221,720.291,12.0,38524,42664,-4140
KR_7777147221,780.31,13.01,44240,45809,-1569
KR_7777147221,840.343,14.01,46662,48832,-2170
KR_7777147221,900.374,15.01,49214,52391,-3177
KR_7777147221,960.395,16.01,51542,56183,-4641
KR_7777147221,1019.628,16.99,54141,59035,-4894
KR_7775267167,0.0,0.0,7000,7000,0
KR_7775267167,60.012,1.0,7015,7015,0
KR_7775267167,120.025,2.0,11347,10424,923
KR_7775267167,180.102,3.0,15418,13720,1698
KR_7775267167,240.119,4.0,18444,17075,1369
KR_7775267167,300.122,5.0,21580,20450,1130
KR_7775267167,360.137,6.0,24563,23077,1486
KR_7775267167,420.154,7.0,28351,27818,533
KR_7775267167,480.178,8.0,32138,31031,1107
KR_7775267167,540.18,9.0,35325,34676,649
KR_7775267167,600.213,10.0,38197,37827,370
KR_7775267167,660.246,11.0,41957,40171,1786
KR_7775267167,720.27,12.0,44220,42810,1410
KR_7775267167,780.284,13.0,46576,46010,566
KR_7775267167,840.3,14.0,49962,50006,-44
KR_7775267167,900.331,15.01,53551,53282,269
KR_7775267167,960.362,16.01,56870,56237,633
KR_7775267167,1020.363,17.01,60170,59342,828
KR_7775267167,1080.381,18.01,62682,62043,639
KR_7775267167,1140.383,19.01,65811,67068,-1257
KR_7775267167,1200.404,20.01,68721,69567,-846
KR_7775267167,1260.424,21.01,70748,75191,-4443
KR_7775267167,1260.591,21.01,70748,75191,-4443
KR_7750298473,0.0,0.0,7000,7000,0
KR_7750298473,60.019,1.0,7015,7015,0
KR_7750298473,120.047,2.0,9426,9285,141
KR_7750298473,141.558,2.36,10161,10921,-760
KR_7772050971,0.0,0.0,7000,7000,0
KR_7772050971,60.02,1.0,7025,7015,10
KR_7772050971,120.029,2.0,9907,10133,-226
KR_7772050971,180.049,3.0,13053,13487,-434
KR_7772050971,240.053,4.0,15787,16764,-977
KR_7772050971,300.072,5.0,20165,19665,500
KR_7772050971,360.096,6.0,24217,24723,-506
KR_7772050971,420.184,7.0,26424,27517,-1093
KR_7772050971,480.202,8.0,29380,30218,-838
KR_7772050971,540.217,9.0,33127,33575,-448
KR_7772050971,600.235,10.0,36192,36291,-99
KR_7772050971,660.262,11.0,39512,40400,-888
KR_7772050971,720.28,12.0,44667,42908,1759
KR_7772050971,780.29,13.0,48183,45538,2645
KR_7772050971,840.312,14.01,52050,49389,2661
KR_7772050971,900.319,15.01,54553,52052,2501
KR_7772050971,957.232,15.95,57754,54351,3403
KR_7740309635,0.0,0.0,7000,7000,0
KR_7740309635,60.018,1.0,7015,7015,0
KR_7740309635,120.023,2.0,10446,9851,595
KR_7740309635,180.041,3.0,14412,13238,1174
