matchId,time_sec,minute,killerId,killer_team,killer_name,killer_champ,victimId,victim_team,victim_name,victim_champ,assistIds
KR_7777147221,140.502,2.34,8,200.0,총 균#KR1,Zed,4,100,나나나나나나너너무서운해#PraY,Ambessa,"[6, 7, 9]"
KR_7777147221,161.044,2.68,1,100.0,지면 리폿때림#KR5,Viego,7,200,뽀 솔#1111,Lulu,"[2, 3, 4, 5]"
KR_7777147221,179.483,2.99,8,200.0,총 균#KR1,Zed,4,100,나나나나나나너너무서운해#PraY,Ambessa,"[6, 9, 10]"
KR_7777147221,181.615,3.03,1,100.0,지면 리폿때림#KR5,Viego,9,200,AD its Mine#KR1,Katarina,"[3, 4, 5]"
KR_7777147221,183.452,3.06,10,200.0,sngh#KR1,TahmKench,1,100,지면 리폿때림#KR5,Viego,[6]
KR_7777147221,183.92,3.07,2,100.0,나의아기고양이준민#jaem,Malphite,8,200,총 균#KR1,Zed,"[1, 3, 4, 5]"
KR_7777147221,192.604,3.21,2,100.0,나의아기고양이준민#jaem,Malphite,6,200,동구는공주야#KR1,Ashe,[4]
KR_7777147221,205.964,3.43,9,200.0,AD its Mine#KR1,Katarina,3,100,게임하는데 말을 왜 거는 거야#말좀걸지마,Gnar,[10]
KR_7777147221,207.768,3.46,4,100.0,나나나나나나너너무서운해#PraY,Ambessa,10,200,sngh#KR1,TahmKench,"[2, 3, 5]"
KR_7777147221,210.974,3.52,1,100.0,지면 리폿때림#KR5,Viego,9,200,AD its Mine#KR1,Katarina,"[4, 5]"
KR_7777147221,217.387,3.62,9,200.0,AD its Mine#KR1,Katarina,2,100,나의아기고양이준민#jaem,Malphite,[7]
KR_7777147221,218.322,3.64,1,100.0,지면 리폿때림#KR5,Viego,6,200,동구는공주야#KR1,Ashe,"[2, 5]"
KR_7777147221,231.716,3.86,1,100.0,지면 리폿때림#KR5,Viego,7,200,뽀 솔#1111,Lulu,"[2, 4]"
KR_7777147221,242.237,4.04,8,200.0,총 균#KR1,Zed,5,100,itemjinseyeon#jisen,Vex,[7]
KR_7777147221,246.88,4.11,8,200.0,총 균#KR1,Zed,1,100,지면 리폿때림#KR5,Viego,"[6, 7, 10]"
KR_7777147221,248.082,4.13,3,100.0,게임하는데 말을 왜 거는 거야#말좀걸지마,Gnar,8,200,총 균#KR1,Zed,"[1, 2, 4]"
KR_7777147221,250.42,4.17,6,200.0,동구는공주야#KR1,Ashe,4,100,나나나나나나너너무서운해#PraY,Ambessa,"[8, 9, 10]"
KR_7777147221,257.501,4.29,7,200.0,뽀 솔#1111,Lulu,3,100,게임하는데 말을 왜 거는 거야#말좀걸지마,Gnar,"[6, 8, 9, 10]"
KR_7777147221,306.795,5.11,9,200.0,AD its Mine#KR1,Katarina,2,100,나의아기고양이준민#jaem,Malphite,"[6, 7, 8, 10]"
KR_7777147221,314.477,5.24,1,100.0,지면 리폿때림#KR5,Viego,9,200,AD its Mine#KR1,Katarina,"[2, 3, 4, 5]"
KR_7777147221,316.014,5.27,8,200.0,총 균#KR1,Zed,4,100,나나나나나나너너무서운해#PraY,Ambessa,"[6, 7, 9]"
KR_7777147221,319.087,5.32,8,200.0,총 균#KR1,Zed,1,100,지면 리폿때림#KR5,Viego,"[6, 7, 9, 10]"
